,City,County,City Latitude,City Longitude,Population,Median Income,Acute Care Beds,WithinFiveMiles,WithinTenMiles,WithinTwentyMiles,WithinFiftyMiles,WithinHundredMiles,DistanceToNearestHospital,BedsPer1000
0,Calhoun,Gordon County,34.479065999999996,-84.76216099999998,40820,24110,69,0,1,3,25,60,9.61047776989252,1.6903478686918176
1,Chatsworth,Los Angeles County,34.753129,-84.77502,33460,24457,29,1,1,3,12,57,1.904655239221261,0.8667065152420801
2,Thomasville,Thomas County,30.868187,-83.927785,34781,24350,264,1,1,2,9,20,3.9659607064789397,7.590351053736235
3,Quitman,Wood County,30.783639,-83.55343,9062,24644,25,1,1,2,10,21,0.8557411901169643,2.758772897815052
4,Camilla,Mitchell County,31.209853999999996,-84.23666999999998,8419,21584,25,1,1,1,9,24,2.308497119838487,2.9694738092410025
5,Macon,Bibb County,32.806707,-83.691315,163700,21279,0,3,4,6,17,77,3.6942032070681425,0.0
6,Macon,Bibb County,32.806707,-83.691315,163700,21279,237,3,4,6,17,77,3.6942032070681425,1.44777031154551
7,Macon,Bibb County,32.806707,-83.691315,163700,21279,103,3,4,6,17,77,3.6942032070681425,0.6291997556505803
8,Macon,Bibb County,32.806707,-83.691315,163700,21279,639,3,4,6,17,77,3.6942032070681425,3.9034819792302993
9,Cochran,Dallas County,32.397039,-83.3404,13265,22125,25,1,1,3,14,53,0.9282354686219599,1.8846588767433095
10,Newnan,Coweta County,33.38779,-84.82536,93395,34158,0,2,2,4,33,72,3.8970619985170742,0.0
11,Newnan,Coweta County,33.38779,-84.82536,93395,34158,143,2,2,4,33,72,3.8970619985170742,1.531131216874565
12,Metter,Candler County,32.414401,-82.05534,10823,18192,25,1,1,3,10,35,0.7867433697810604,2.3098955927192093
13,Cartersville,Bartow County,34.200264000000004,-84.77533000000003,64626,28639,112,1,1,2,39,65,1.1037953978793373,1.7330486182031999
14,Hiawassee,Towns County,34.923846999999995,-83.7231,6969,22820,137,1,1,2,8,52,2.347911597854445,19.658487587889223
15,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,0,0,15,23,46,77,5.139200730369802,0.0
16,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,569,0,15,23,46,77,5.139200730369802,0.5757069863914606
17,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,812,0,15,23,46,77,5.139200730369802,0.8215713057115395
18,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,0,0,15,23,46,77,5.139200730369802,0.0
19,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,0,0,15,23,46,77,5.139200730369802,0.0
20,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,276,0,15,23,46,77,5.139200730369802,0.27925330095613904
21,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,511,0,15,23,46,77,5.139200730369802,0.5170233216977791
22,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,961,0,15,23,46,77,5.139200730369802,0.9723276167349623
23,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,537,0,15,23,46,77,5.139200730369802,0.5433297920777053
24,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,498,0,15,23,46,77,5.139200730369802,0.5038700865078161
25,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,330,0,15,23,46,77,5.139200730369802,0.333889816360601
26,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,170,0,15,23,46,77,5.139200730369802,0.17200384479182476
27,Atlanta,Fulton County,33.844371,-84.47405,988350,37006,460,0,15,23,46,77,5.139200730369802,0.4654221682602317
28,Homerville,Clinch County,31.062818,-82.72399,5622,20275,25,1,1,1,8,29,3.103250025016875,4.446816079686944
29,Douglas,Douglas County,31.571596000000003,-82.85463100000003,28364,21687,88,1,1,1,11,41,4.235828976633118,3.1025243266111975
30,Moultrie,Colquitt County,31.172696000000002,-83.792379,22858,21032,84,1,1,1,14,27,3.3091732774984233,3.674862192667775
31,Cordele,Crisp County,31.917178000000003,-83.785365,21549,17401,216,1,1,1,15,44,4.166029001483967,10.023666991507726
32,Augusta,Richmond County,33.386041,-82.09099599999998,204303,23481,350,0,4,4,7,28,6.911437749455198,1.7131417551382015
33,Augusta,Richmond County,33.386041,-82.09099599999998,204303,23481,121,0,4,4,7,28,6.911437749455198,0.5922575782049211
34,Augusta,Richmond County,33.386041,-82.09099599999998,204303,23481,154,0,4,4,7,28,6.911437749455198,0.7537823722608087
35,Augusta,Richmond County,33.386041,-82.09099599999998,204303,23481,478,0,4,4,7,28,6.911437749455198,2.3396621684458867
36,Eastman,Dodge County,32.193953,-83.1848,14276,21081,94,1,1,3,12,52,0.7129863045399096,6.584477444662371
37,Fitzgerald,Tulsa County,31.720028999999997,-83.25093000000003,18322,20822,75,1,2,2,13,42,1.6422335255754628,4.093439580831787
38,Statesboro,Bulloch County,32.423083,-81.80677,60042,16624,150,1,1,3,11,28,2.2050117365746194,2.4982512241431
39,Springfield,Greene County,32.390879,-81.32427,9950,27305,0,1,1,1,9,20,1.844189544029817,0.0
40,Elberton,Elbert County,34.119972,-82.825,14964,21478,52,1,1,1,5,56,2.885208575997699,3.475006682705159
41,Swainsboro,Emanuel County,32.605196,-82.3391,13598,20101,94,1,1,1,9,41,0.9778262256939376,6.912781291366377
42,Decatur,DeKalb County,33.693448,-84.24743000000002,180825,32843,628,0,11,20,46,79,5.790401847045678,3.4729711046592007
43,Decatur,DeKalb County,33.693448,-84.24743000000002,180825,32843,360,0,11,20,46,79,5.790401847045678,1.9908751555371216
44,Lithonia,DeKalb County,33.750257,-84.0964,96762,28433,100,1,2,22,44,78,4.270423034773234,1.0334635497406006
45,Tucker,DeKalb County,33.853853,-84.22036,38484,33845,0,1,12,23,47,75,2.492428616253968,0.0
46,Claxton,Evans County,32.162077000000004,-81.90984,10777,23948,209,1,1,4,14,30,0.7078973275523186,19.39315208314002
47,Montezuma,Gray County,32.293293,-83.98913,4928,18672,49,1,1,2,16,48,2.3922562457130074,9.943181818181818
48,Rome,Metropolitan City of Rome,34.333308,-85.233721,76247,23770,278,1,2,2,14,56,4.48341428521613,3.6460450902986348
49,Rome,Metropolitan City of Rome,34.333308,-85.233721,76247,23770,230,1,2,2,14,56,4.48341428521613,3.0165121250672158
50,Cedartown,Polk County,34.010162,-85.25761999999997,23814,23343,18,1,1,3,12,57,3.513967679065826,0.7558578987150416
51,Dalton,Whitfield County,34.780699,-84.93994,81843,25269,282,1,2,3,10,55,2.6318967037508907,3.44562149481324
52,Warner Robins,Houston County,32.594698,-83.64873,86531,28110,237,1,2,7,16,68,1.8060975601622453,2.73890282095434
53,Perry,Noble County,32.460791,-83.73541,20167,25963,45,1,1,4,15,61,1.4891212752280134,2.231368076560718
54,Ocilla,Irwin County,31.586426,-83.27583,6737,17566,34,1,2,3,14,37,1.857421509878579,5.046756716639454
55,Monticello,Albemarle County,33.319093,-83.70862,9071,22079,17,1,1,3,33,80,1.319209945350994,1.8741042883915775
56,Hazlehurst,Jeff Davis County,31.844772,-82.59809,14645,21532,25,1,1,1,11,46,1.0078371273047346,1.7070672584499829
57,Millen,Jenkins County,32.802448,-81.98380999999998,7617,17210,25,1,1,2,13,31,2.878262304322086,3.2821320729946173
58,Hinesville,Liberty County,31.806832,-81.437074,40916,28303,25,0,1,1,9,19,9.900827490179466,0.6110079186626258
59,Vidalia,Toombs County,32.177513,-82.373889,16665,21886,122,1,1,2,9,45,2.179415696672738,7.320732073207321
60,Byron,Cook County,32.652313,-83.75918,18381,31807,0,1,2,7,18,69,3.2661215500395375,0.0
61,Waycross,Ware County,31.018953999999997,-82.416543,35587,23868,345,0,0,1,4,24,14.772085860045726,9.69455138112232
62,Forsyth,Forsyth County,33.0409,-83.92941,16459,25070,25,1,1,3,21,74,1.1327005690211887,1.518925815663163
63,Madison,Dane County,33.588436,-83.47936,12063,28750,46,1,1,3,19,79,1.3806110850087172,3.8133134377849625
64,Milledgeville,Baldwin County,33.083579,-83.23397,44261,18000,140,1,1,2,15,77,0.7848832372213873,3.163055511624229
65,Gainesville,Alachua County,34.274355,-83.87003,131139,25865,557,1,1,4,39,70,3.7137264631739906,4.247401612029983
66,Winder,Barrow County,33.992538,-83.71061,42975,26214,80,1,1,4,43,76,1.0875903081740512,1.8615474112856312
67,Braselton,Jackson County,34.121974,-83.78604,14657,37419,100,1,2,5,38,73,2.9870461469732463,6.822678583611926
68,Dahlonega,Lumpkin County,34.527671000000005,-83.980879,26683,22180,49,1,1,2,25,64,0.43601788088045057,1.836375220177641
69,Commerce,Jackson County,34.210423,-83.46842,17765,25697,239,1,1,2,19,74,0.6072142176322667,13.45341964537011
70,Canton,Stark County,34.228478,-84.50402,94315,34793,158,1,1,5,44,68,2.1460300403273496,1.6752372369188357
71,Duluth,St. Louis County,33.960353000000005,-84.037859,114864,38852,0,1,2,22,43,77,1.1857597786498517,0.0
72,Cumming,Forsyth County,34.201503,-84.09764,162019,41386,304,1,1,8,41,73,2.950107528887545,1.876323147285195
73,Lawrenceville,Gwinnett County,34.001159,-84.01487,256112,31355,576,1,2,9,43,77,2.6226867965998237,2.2490160554757295
74,Sylvania,Johnson County,32.754635,-81.63543,12070,22345,0,1,1,2,7,22,0.7391285258280116,0.0
75,Reidsville,Rockingham County,32.057356,-82.1214,10775,14460,0,1,1,3,9,36,1.7558673886136476,0.0
76,Albany,Albany County,31.564273999999997,-84.165407,97727,23621,420,2,2,3,8,34,1.8898747632429067,4.297686412148127
77,Albany,Albany County,31.564273999999997,-84.165407,97727,23621,248,2,2,3,8,34,1.8898747632429067,2.537681500506513
78,Americus,Sumter County,32.085491,-84.25266500000002,24804,21422,76,1,1,2,9,41,1.2920862104763644,3.0640219319464603
79,Sylvester,Worth County,31.536886,-83.86041,12138,23805,25,1,1,3,13,35,2.0962453582199605,2.0596473883671114
80,Columbus,Franklin County,32.468441999999996,-84.95128000000003,176213,22279,583,2,2,2,6,45,1.9964771299639534,3.308495967947881
81,Columbus,Franklin County,32.468441999999996,-84.95128000000003,176213,22279,100,2,2,2,6,45,1.9964771299639534,0.5674950202311975
82,Fayetteville,Cumberland County,33.47875,-84.47668,66058,36318,300,1,2,6,42,76,2.551835624230365,4.541463562324019
83,Jasper,Division No. 15,34.454934,-84.41583,21487,30317,35,1,1,2,38,64,1.954108987339034,1.6288918881183971
84,Covington,Kenton County,33.581406,-83.851,92687,25747,97,1,1,4,43,80,1.3873245933160385,1.046532954999083
85,Conyers,Rockdale County,33.696714,-84.01732,88901,29512,138,1,2,11,46,80,1.4326481442768695,1.5522885006917808
86,Monroe,Ouachita Parish,33.857423,-83.71899,41339,27809,135,1,1,5,39,78,4.422363694499375,3.2656813178838386
87,Eatonton,Putnam County,33.318579,-83.35432,20438,26389,25,1,1,5,15,78,1.5251232084997899,1.223211664546433
88,Valdosta,Lowndes County,30.802411,-83.19624,95635,21046,335,0,1,2,9,22,6.725395960549758,3.502901657343023
89,Nashville,Davidson County,31.199,-83.2188,10237,21910,51,1,1,3,12,29,1.2121143268321986,4.981928299306437
90,Lakeland,Polk County,31.055578000000004,-83.07103000000002,6602,20662,25,1,1,4,12,28,1.2851347273606994,3.78673129354741
91,Brunswick,Medina County,31.260995,-81.49831999999998,66927,24587,316,0,1,1,4,17,5.952523673790637,4.72156229922154
92,Riverdale,Sumner County,33.564710999999996,-84.43987,64018,24951,331,1,2,13,44,77,3.067427405574273,5.170420819144615
93,Adel,Dallas County,31.133004,-83.42736,10836,25632,60,1,1,2,14,27,1.6687742353220707,5.537098560354374
94,Tifton,Tift County,31.485438000000002,-83.503621,36948,25598,181,1,1,3,15,34,1.2364396208551145,4.8987766590884485
95,Greensboro,Guilford County,33.547041,-83.19797,11949,28823,25,0,1,3,14,74,5.193191393020247,2.0922252908193153
96,Lavonia,Franklin County,34.450501,-83.09448,7994,23650,56,1,1,2,8,56,2.235983987162437,7.005253940455342
97,Toccoa,Stephens County,34.597674,-83.36206999999997,21204,20782,96,1,1,3,11,55,0.8680825714361703,4.527447651386531
98,Carrollton,Dallas County,33.618930999999996,-85.073582,61916,17138,201,1,1,2,31,65,3.3928336095636964,3.246333742489825
99,Villa Rica,Carroll County,33.718078999999996,-84.92356,37325,31256,80,1,1,4,37,70,1.8630899707505035,2.143335565974548
100,Hawkinsville,Pulaski County,32.270314,-83.48517,12322,22063,55,1,1,4,15,49,1.7966530597668324,4.4635611102093815
101,Blairsville,Union County,34.903397999999996,-84.01915699999998,21080,24412,45,1,1,2,9,55,3.428992981107908,2.1347248576850095
102,Thomson,Labette County,33.490536,-82.5028,17025,21449,25,1,1,1,8,43,2.2422864298660765,1.4684287812041117
103,Thomaston,Upson County,32.895794,-84.33084000000002,22085,22114,120,1,1,1,21,71,0.7662996160104167,5.433552184740774
104,Warm Springs,Meriwether County,32.896166,-84.71191,2571,16714,104,1,1,1,10,70,1.7333563031710637,40.45118630882925
